user_id,apparel,bags,shop_by_brand,drinkware,new,clearance,accessories,campus_collection,office,lifestyle,small_goods,uncategorized_items,stationery,google,writing_instruments,fun,unknown,electronics_accessories,notebooks_journals,gift_cards,black_lives_matter
hywnskaehl,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
bfrnhfzeky,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gwejmhsxsh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oanmufokju,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gjddivbkyr,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rjusffzhek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oxhevgdiko,0,0,0,29,87,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qjooiqgsje,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sxeepktyly,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
xberqyzjpr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfumenmbhv,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vqkrsbaluj,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khrnthhmmz,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bstucmcupc,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vaekksbool,8,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axnsbsutpn,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
iiaomwpwxt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qsgbqkwmhd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vhgqbuvgvb,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
amgelujtwc,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
ruqgeptbfy,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jnnihoybxd,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ruqsagtpnh,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
uatppdxqge,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eqauwqacrg,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
vqemvyqurw,2,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ioxvqpxlhy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbybiwjpry,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rbwektpsgi,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uqgapkflfs,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cenfbipnen,5,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0
orndwquiea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kxlblamwln,6,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
knqmoobnxt,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhdpptfbax,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fkbawtkmwp,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ngejdmdynl,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kyqysfgini,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tsednvwodc,0,0,0,0,10,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0
awzcbwawim,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yyyszibzng,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
vlqdqmwgwl,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zpvvafscxv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ophcjsqitk,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wxfcfvclse,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ofrtuzqcdr,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upoagfrcfw,4,2,1,1,1,0,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0
arvcvxywho,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgbmcymwjm,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
odpzpxyugz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
fickipxupd,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fncniddxao,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
nxjvfsdwho,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xdtrddroqm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adsaqrrlof,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
czlfjkinvt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cwcddrmcnt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saqkdhriyv,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ncwihhoeyn,3,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0
jrwxhcqlhk,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zeazvxgdjk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ndoeocxxfu,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gvgjuaxubn,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mvhcvprmof,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sxybohcour,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yskaeolxkw,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
rmzzvxttjk,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
iveahljynu,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
btjkcurzuc,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xedspjlamv,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
imkdezdcsu,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vpighlvfaz,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
